person,cause_of_death,date,year,canine,dept_name,states_death
Deputy Warden Joseph T. Clark,Assault,1864-05-08,1864,FALSE,Illinois Department of Corrections,Illinois
Patrolman George W. Duryea,Gunfire,1864-05-16,1864,FALSE,New York Metropolitan Police Force,New York
Deputy Sheriff Andrew Kriss,Gunfire,1864-05-25,1864,FALSE,San Diego County Sheriff's Department,California
Deputy Joseph Staples,Gunfire,1864-07-01,1864,FALSE,El Dorado County Sheriff's Department,California
Patrolman John J. O'Brien,Gunfire,1864-08-25,1864,FALSE,New York Metropolitan Police Force,New York
Deputy Marshal Charles Ring,Gunfire,1864-09-14,1864,FALSE,Saginaw Police Department,Michigan
Sheriff Harvey Staten Cox,Assault,1864-09-15,1864,FALSE,Young County Sheriff's Office,Texas
Sheriff Robert Carmen,Gunfire,1864-09-20,1864,FALSE,Chariton County Sheriff's Department,Missouri
Special Agent Josiah M. Woodruff,Gunfire,1864-10-01,1864,FALSE,United States Army Criminal Investigation Division,NA
Deputy Provost Marshal John L. Bashore,Gunfire,1864-10-01,1864,FALSE,United States Army Criminal Investigation Division,NA
Patrolman Charles Curren,Gunfire,1864-10-06,1864,FALSE,New York Metropolitan Police Force,New York
Special Agent Cyrus Butler,Gunfire,1864-10-31,1864,FALSE,United States Army Criminal Investigation Division,NA
Patrolman Joseph Nulett,Gunfire,1864-11-07,1864,FALSE,New York Metropolitan Police Force,New York
Sheriff Matthew Nolan,Gunfire,1864-12-22,1864,FALSE,Nueces County Sheriff's Office,Texas
Sheriff William W. Armstrong,Duty related illness,1864-12-29,1864,FALSE,Jefferson County Sheriff's Department,Washington
Policeman George Dill,Gunfire,1865-01-10,1865,FALSE,Buffalo Police Department,New York
Guard Daniel Heavey,Stabbed,1865-01-19,1865,FALSE,Ohio Department of Rehabilitation and Correction,Ohio
Sergeant W.C. Stockham,Gunfire,1865-02-22,1865,FALSE,Memphis Police Department,Tennessee
"Sheriff John Quincy Daugherty, Sr.",Gunfire,1865-03-18,1865,FALSE,Uvalde County Sheriff's Office,Texas
Deputy Sheriff O. John Hart,Gunfire,1865-05-01,1865,FALSE,Umatilla County Sheriff's Department,Oregon
Sheriff Cornelius Sage,Gunfire,1865-05-03,1865,FALSE,Yuma County Sheriff's Department,Arizona
Sheriff Joseph E. Branscomb,Gunfire,1865-07-31,1865,FALSE,DeKalb County Sheriff's Office,Missouri
"Officer Thomas DeVane, V",Gunfire,1865-08-05,1865,FALSE,Wilmington Police Department,North Carolina
Patrolman Thomas Walker,Gunfire,1865-08-15,1865,FALSE,New York Metropolitan Police Force,New York
Constable Andrew J. Frank,Gunfire,1865-09-16,1865,FALSE,Suspension Bridge Village Police Department,New York
Sheriff John H. Payntor,Gunfire,1865-10-05,1865,FALSE,Cedar County Sheriff's Office,Missouri
Lieutenant William L. Harville,Gunfire,1865-10-05,1865,FALSE,Cedar County Sheriff's Office,Missouri
Sheriff Benjamen McLean,Assault,1866-02-09,1866,FALSE,Shelby County Sheriff's Office,Ohio
Deputy Sheriff William H. Hendricks,Gunfire,1866-02-15,1866,FALSE,Santa Clara County Sheriff's Office,California
Sheriff George Rogers,Gunfire,1866-03-01,1866,FALSE,Lincoln County Sheriff's Office,Nevada
Patrolman William Mower,Gunfire,1866-03-01,1866,FALSE,Memphis Police Department,Tennessee
Patrolman John Stevens,Gunfire,1866-05-01,1866,FALSE,Memphis Police Department,Tennessee
Policeman John Curry,Stabbed,1866-05-08,1866,FALSE,Leavenworth Police Department,Kansas
Sheriff William Read McMullen,Gunfire,1866-05-19,1866,FALSE,Angelina County Sheriff's Office,Texas
Town Marshal Jesse Dickson,Gunfire,1866-05-21,1866,FALSE,Quincy Police Department,Florida
Jailer Henry Bugler,Gunfire,1866-06-13,1866,FALSE,Jackson County Sheriff's Office,Missouri
Jailer Uriah S. Gregory,Assault,1866-06-21,1866,FALSE,Storey County Sheriff's Office,Nevada
Private Alvin A. Clark,Gunfire,1866-06-29,1866,FALSE,Texas Rangers,Texas
Patrolman John Fuchs,Gunfire,1866-07-04,1866,FALSE,Morrisania Police Department,New York
Deputy Sheriff John Ormsby,Gunfire,1866-07-10,1866,FALSE,Fremont County Sheriff's Department,Iowa
Officer Thomas A. Welch,Gunfire,1866-08-17,1866,FALSE,Omaha Police Department,Nebraska
Patrolman John Hipwell,Gunfire,1866-10-09,1866,FALSE,Brooklyn Police Department,New York
Officer Charles E. Gall,Assault,1866-10-10,1866,FALSE,Hagerstown Police Department,Maryland
Deputy U.S. Marshal George W. Leihy,Assault,1866-11-18,1866,FALSE,United States Department of Justice - United States Marshals Service,NA
